brand,post_url,comment_text,commenter_username,comment_likes
zivalagos,https://www.instagram.com/p/DXMTmicjPy2/,😍,aidonojie,0.0
zivalagos,https://www.instagram.com/p/DXMTmicjPy2/,☺️🌺💯,fashioncontentinterest,0.0
zivalagos,https://www.instagram.com/p/DXMTmicjPy2/,😍😍😍,thegardenersdota,0.0
zivalagos,https://www.instagram.com/p/DYM3KIABhOZ/,😍😍😍,thegardenersdota,0.0
zivalagos,https://www.instagram.com/p/DYM3KIABhOZ/,Finally 🥳🥳🥳,taniaomotayo,0.0
zivalagos,https://www.instagram.com/p/DYM3KIABhOZ/,😍😍,ritzadornments,0.0
zivalagos,https://www.instagram.com/p/DYM3KIABhOZ/,Welcome back amongst us beautiful green mesh dress😊💚🩵,fashioncontentinterest,0.0
zivalagos,https://www.instagram.com/p/DYM3KIABhOZ/,😍😍😍,ziva.kids,1.0
zivalagos,https://www.instagram.com/p/DYM3KIABhOZ/,😍😍,aidonojie,0.0
taniaomotayo,https://www.instagram.com/p/DYC-sIFDKqP/,Just applied through email 🫶🏽,_enieh_,0.0
taniaomotayo,https://www.instagram.com/p/DYC-sIFDKqP/,I'm not up to size 10. But are you really sure you don't want my size 😭😭. I'm still gonna shoot my shot btw 🥹,perpetual.akhim,0.0
taniaomotayo,https://www.instagram.com/p/DYC-sIFDKqP/,Unable to send media via dm,saffffeyah,0.0
zivalagos,https://www.instagram.com/p/DX__t1KsIS4/,Will this be restocked,moronkedarling,0.0
zivalagos,https://www.instagram.com/p/DX__t1KsIS4/,😍😍,aidonojie,0.0
zivalagos,https://www.instagram.com/p/DX__t1KsIS4/,Very beautiful outfit 😊🔥🩵 I like it a lot,fashioncontentinterest,0.0
zivalagos,https://www.instagram.com/p/DX__t1KsIS4/,😍,lekeshotit,0.0
zivalagos,https://www.instagram.com/p/DX__t1KsIS4/,💙💙💙,thegardenersdota,0.0
zivalagos,https://www.instagram.com/p/DX__t1KsIS4/,😍😍😍,thegardenersdota,0.0
ashluxe,https://www.instagram.com/p/DWt8eHKF13d/,This feels like a proper editorial 🔥,innocent_ndibe,0.0
ashluxe,https://www.instagram.com/p/DWt8eHKF13d/,❤️,thefashionblackboy,0.0
ashluxe,https://www.instagram.com/p/DWt8eHKF13d/,"@ashluxe Hi Ashluxe 
My name is Olamide, a lifestyle host and content creator with a growing platform focused on culture, fashion, and real conversations.
Your brands as been a big motivation for me and I really like your aesthetic it aligns with my style and the kind of image I represent. I’m currently open to modeling and content collaborations with fashion brands, and I believe I’d be a strong fit for your pieces.
Beyond modeling, I also create engaging content that gives brands added visibility and connects them to a wider audience
I’d love to collaborate with you if you’re open to it. I can share my portfolio and previous work on request.
Best regards,
Pizzleberry",yalkswithpb,1.0
ashluxe,https://www.instagram.com/p/DWt8eHKF13d/,World Dominance!,lanrescorner,0.0
ashluxe,https://www.instagram.com/p/DWt8eHKF13d/,🔥🙌,worldref_vii,0.0
ashluxe,https://www.instagram.com/p/DWjmq9Ul1AU/,🔥🔥🔥🔥🔥🔥🔥🔥,queendarerah,0.0
ashluxe,https://www.instagram.com/p/DWjmq9Ul1AU/,Ashluxe in jet and Red!,lanrescorner,0.0
ashluxe,https://www.instagram.com/p/DWhBKVLl2zf/,Ashluxe steady killing it❤️,lanrescorner,0.0
ashluxe,https://www.instagram.com/p/DWhBKVLl2zf/,❤️,thefashionblackboy,0.0
ashluxe,https://www.instagram.com/p/DWb54DMl7wK/,Why 🔥,ayoade_brands,0.0
ashluxe,https://www.instagram.com/p/DWb54DMl7wK/,This is too Cold!! Ash take it easyy,lanrescorner,0.0
ashluxe,https://www.instagram.com/p/DWb54DMl7wK/,🔥🔥🔥,supreeme7777777,0.0
ashluxe,https://www.instagram.com/p/DWmMGcPl0fK/,Nice,tobechukwuasika,0.0
ashluxe,https://www.instagram.com/p/DWmMGcPl0fK/,😍😍😍,daimondgiftgift,0.0
ashluxe,https://www.instagram.com/p/DWmMGcPl0fK/,I could do better 😮,laredopage,0.0
ashluxe,https://www.instagram.com/p/DWmMGcPl0fK/,@laura.iikkanen 🥹,laura.iikkanen,1.0
ashluxe,https://www.instagram.com/p/DWmMGcPl0fK/,@chocolatebrother_ I see you 🥵,laura.iikkanen,1.0
ashluxe,https://www.instagram.com/p/DWmMGcPl0fK/,Man let me model for you 😢,samueloluwanifemi100,0.0
ashluxe,https://www.instagram.com/p/DWmMGcPl0fK/,Strictly Gentleman culture,lanrescorner,0.0
zivalagos,https://www.instagram.com/p/DYHckbMsxIX/,The top 🔥🔥❤️,thelifewithoma,0.0
zivalagos,https://www.instagram.com/p/DYHckbMsxIX/,so beautiful 😍😍,_m.i.r.a.n.d,0.0
zivalagos,https://www.instagram.com/p/DYHckbMsxIX/,@aidonojie 🤭🤭,aidonojie,1.0
zivalagos,https://www.instagram.com/p/DYHckbMsxIX/,😍😍,aidonojie,1.0
zivalagos,https://www.instagram.com/p/DYHckbMsxIX/,😍😍😍,thegardenersdota,1.0
zivalagos,https://www.instagram.com/p/DYHckbMsxIX/,🤭🤭don’t forget to shop yours!,thegardenersdota,1.0
zivalagos,https://www.instagram.com/p/DYHckbMsxIX/,😍😍😍,thegardenersdota,1.0
zivalagos,https://www.instagram.com/p/DYHckbMsxIX/,@fashioncontentinterest ❤️❤️,fashioncontentinterest,1.0
zivalagos,https://www.instagram.com/p/DYHckbMsxIX/,Very beautiful 😊💯🔥,fashioncontentinterest,1.0
ashluxe,https://www.instagram.com/p/DWzFFl1lxDv/,🔥 love this campaign,k_markaryan,1.0
ashluxe,https://www.instagram.com/p/DWzFFl1lxDv/,💪🏾🥂🇳🇬,sonofstmary,2.0
ashluxe,https://www.instagram.com/p/DWzFFl1lxDv/,"Highest,biggest ❤️🔥",jnr2xhim,1.0
ashluxe,https://www.instagram.com/p/DWzFFl1lxDv/,Nobody classic!,lanrescorner,1.0
ashluxe,https://www.instagram.com/p/DWzFFl1lxDv/,🇳🇬highest,slyoriginals,1.0
ashluxe,https://www.instagram.com/p/DWzFFl1lxDv/,@k_markaryan thank you!,yinkaash,0.0
ashluxe,https://www.instagram.com/p/DW_uJxwOwai/,Clock it,perpetuauzoamakaudeh,0.0
ashluxe,https://www.instagram.com/p/DW_uJxwOwai/,Nice,aubreybosslife,0.0
ashluxe,https://www.instagram.com/p/DW_uJxwOwai/,🔥🔥🔥🔥🔥🔥,asewagospel,0.0
ashluxe,https://www.instagram.com/p/DW_uJxwOwai/,👏👏👏,teedjs__,1.0
ashluxe,https://www.instagram.com/p/DXM0KTxF9Pw/,"Dear Ashluxe 

My name is Ayoade, and I’m a growing streetwear and fashion content creator with a strong passion for storytelling through fashion content.

I create clean, engaging, and consistent content that helps showcase the identity and energy behind each collection in a natural and stylish way. My goal is not just to promote clothing, but to create content that connects with audiences and brings more visibility to brands.

I truly admire your brand and would love the opportunity to collaborate and create content featuring your pieces.

Thank you for your time, and I look forward to hearing from you.

Kind regards,
Ayoade",ayoade_brands,0.0
ashluxe,https://www.instagram.com/p/DXM0KTxF9Pw/,🔥🔥,manychoice2026,0.0
ashluxe,https://www.instagram.com/p/DXM0KTxF9Pw/,Ash to classy all time 🙌🔥🔥,mohammedolatomiwa,0.0
ashluxe,https://www.instagram.com/p/DXM0KTxF9Pw/,❤️,thefashionblackboy,0.0
ashluxe,https://www.instagram.com/p/DXM0KTxF9Pw/,Ash Denim 🤍🇳🇬,dewusiofficial,0.0
